BID RECEIVED UNTIL DATE AND TIME,COUNTY,CONTROLLING PROJECT ID (CCSJ),DISTRICT/ DIVISION,LET TYPE,PROJECT TYPE,PROPOSAL REQUEST,STATE PROJECT NUMBER,VENDOR NAME,TEXAS PRESENCE
12/03/2025 01:00:00 PM,Crockett,6492-65-001,Maintenance Division,Statewide Let,Maintenance,Bidders,RMC - A00218186,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,Webb,2150-04-099,Laredo,Statewide Let,Construction,Bidders,,"TEXAS MATERIALS GROUP, INC.",true
12/03/2025 01:00:00 PM,Caldwell,0152-03-065,Austin,Statewide Let,Construction,Bidders,C 152-3-65,"TEXAS MATERIALS GROUP, INC.",true
12/02/2025 01:00:00 PM,Henderson,0163-03-053,Tyler,Statewide Let,Construction,Bidders,,CDM HOLDINGS,true
12/03/2025 01:00:00 PM,Val Verde,0022-09-056,Laredo,Statewide Let,Construction,Bidders,,"THE LEVY COMPANY, LLC",true
12/02/2025 01:00:00 PM,Bexar,0024-09-028,San Antonio,Statewide Let,Construction,Bidders,,"THE LEVY COMPANY, LLC",true
12/02/2025 01:00:00 PM,Wilson,1122-04-017,San Antonio,Statewide Let,Construction,Bidders,C 1122-4-17,"TEXAS MATERIALS GROUP, INC.",true
12/02/2025 01:00:00 PM,Bell,6472-26-001,Waco,Statewide Let,Maintenance,Bidders,RMC - A00211859,"THE LEVY COMPANY, LLC",true
12/03/2025 01:00:00 PM,Webb,0086-01-101,Laredo,Statewide Let,Construction,Bidders,,"THE LEVY COMPANY, LLC",true
12/02/2025 01:00:00 PM,Ellis,6489-28-001,Dallas,Statewide Let,Maintenance,Bidders,RMC - A00217346,"CEN-TEX IRRIGATION SYSTEMS, INC.",true
12/09/2025 10:30:00 AM,Montgomery,6490-51-001,Houston,Local District Let,Maintenance,Informational Proposals,RMC - A00217643,TREE GUY LLC,true
12/10/2025 10:30:00 AM,Robertson,6492-80-001,Bryan,Local District Let,Maintenance,Bidders,RMC - A00218219,M&D CONSTRUCTION SERVICES,true
12/09/2025 10:30:00 AM,Grimes,6489-57-001,Bryan,Local District Let,Maintenance,Bidders,RMC - A00217481,M&D CONSTRUCTION SERVICES,true
12/09/2025 10:30:00 AM,Walker,6493-43-001,Bryan,Local District Let,Maintenance,Bidders,MMC - A00218327,M&D CONSTRUCTION SERVICES,true
12/09/2025 10:30:00 AM,Leon,6488-63-001,Bryan,Local District Let,Maintenance,Informational Proposals,RMC - A00217158,M&D CONSTRUCTION SERVICES,true
12/02/2025 01:00:00 PM,De Witt,0913-00-139,Yoakum,Statewide Let,Construction,Bidders,,CEKRA INC.,false
12/04/2025 09:00:00 AM,Cameron,6494-02-001,Pharr,Local District Let,Maintenance,Bidders,RMC - A00218471,CLORE EQUIPMENT LLC,true
12/10/2025 10:00:00 AM,Navarro,6488-44-001,Dallas,Local District Let,Maintenance,Bidders,RMC - A00217116,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 10:30:00 AM,Washington,6493-75-001,Bryan,Local District Let,Maintenance,Bidders,MMC - A00218387,"BIG CREEK CONSTRUCTION, LTD.",true
12/10/2025 10:30:00 AM,Grimes,6493-42-001,Bryan,Local District Let,Maintenance,Bidders,MMC - A00218326,"BIG CREEK CONSTRUCTION, LTD.",true
12/17/2025 11:00:00 AM,Jefferson,6495-27-001,Beaumont,Local District Let,Maintenance,Bidders,MMC - A00218715,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 10:00:00 AM,Dallas,6491-21-001,Dallas,Local District Let,Maintenance,Bidders,TMC - A00217794,THOMAS 11 DEVELOPMENT LLC,true
12/17/2025 10:30:00 AM,Bell,6479-87-001,Waco,Local District Let,Maintenance,Bidders,RMC - A00213956,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 10:00:00 AM,Dallas,6493-70-001,Dallas,Local District Let,Maintenance,Bidders,RMC - A00218379,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 02:00:00 PM,Carson,6492-17-001,Amarillo,Local District Let,Maintenance,Bidders,RMC - A00218010,THOMAS 11 DEVELOPMENT LLC,true
12/17/2025 10:00:00 AM,Tarrant,6493-66-001,Fort Worth,Local District Let,Maintenance,Bidders,RMC - A00218364,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 10:30:00 AM,Robertson,6492-80-001,Bryan,Local District Let,Maintenance,Bidders,RMC - A00218219,THOMAS 11 DEVELOPMENT LLC,true
12/09/2025 10:30:00 AM,Grimes,6489-57-001,Bryan,Local District Let,Maintenance,Bidders,RMC - A00217481,"P-VILLE, INCORPORATED",true
12/02/2025 01:00:00 PM,Potter,6492-49-001,Amarillo,Statewide Let,Maintenance,Bidders,RMC - A00218138,"STRIPE-A-ZONE, LLC",true
12/05/2025 02:00:00 PM,Childress,6490-25-001,Childress,Local District Let,Maintenance,Bidders,BPM - A00217584,"O. TREVINO CONSTRUCTION, LLC",true
12/03/2025 01:00:00 PM,Camp,0083-08-055,Atlanta,Statewide Let,Construction,Bidders,,TRUE ROADS CONSTRUCTION LLC,true
12/02/2025 01:00:00 PM,Smith,6488-62-001,Tyler,Statewide Let,Maintenance,Bidders,RMC - A00217157,"BIG CREEK CONSTRUCTION, LTD.",true
12/03/2025 01:00:00 PM,Taylor,0974-03-014,Abilene,Statewide Let,Construction,Bidders,,"JAMES CONSTRUCTION GROUP, LLC",true
12/02/2025 01:00:00 PM,Midland,1188-02-111,Odessa,Statewide Let,Construction,Bidders,C 1188-2-111,"JAMES CONSTRUCTION GROUP, LLC",true
12/02/2025 01:00:00 PM,Cameron,0331-03-022,Pharr,Statewide Let,Construction,Bidders,,"REIM CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Kaufman,6489-09-001,Dallas,Statewide Let,Maintenance,Bidders,RMC - A00217303,"O. TREVINO CONSTRUCTION, LLC",true
12/02/2025 01:00:00 PM,Navarro,0574-02-023,Dallas,Statewide Let,Construction,Bidders,C 574-2-23,"BIG CREEK CONSTRUCTION, LTD.",true
12/10/2025 10:00:00 AM,Refugio,6494-25-001,Corpus Christi,Local District Let,Maintenance,Bidders,RMC - A00218562,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,Collin,0918-24-285,Dallas,Statewide Let,Construction,Bidders,,"RAGLE CONSTRUCTION, INC.",true
12/03/2025 01:00:00 PM,Kimble,6492-64-001,Maintenance Division,Statewide Let,Maintenance,Bidders,RMC - A00218184,THOMAS 11 DEVELOPMENT LLC,true
12/05/2025 02:00:00 PM,Childress,6490-25-001,Childress,Local District Let,Maintenance,Bidders,BPM - A00217584,"BUILT RIGHT CONSTRUCTION OF OKLAHOMA, LLC",true
12/02/2025 01:00:00 PM,Bowie,0046-05-048,Atlanta,Statewide Let,Construction,Bidders,,TRUE ROADS CONSTRUCTION LLC,true
12/03/2025 01:00:00 PM,Navarro,2682-01-024,Dallas,Statewide Let,Construction,Bidders,C 2682-1-24,"BIG CREEK CONSTRUCTION, LTD.",true
12/02/2025 01:00:00 PM,Kaufman,6489-09-001,Dallas,Statewide Let,Maintenance,Bidders,RMC - A00217303,"WINDING ROAD CONSTRUCTION, INC.",true
12/09/2025 03:00:00 PM,El Paso,6491-92-001,El Paso,Local District Let,Maintenance,Bidders,MMC - A00217968,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 10:00:00 AM,Navarro,6488-89-001,Dallas,Local District Let,Maintenance,Bidders,RMC - A00217226,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,Potter,6492-49-001,Amarillo,Statewide Let,Maintenance,Bidders,RMC - A00218138,"TEXAS PANHANDLE CONSTRUCTION, INC.",true
12/18/2025 02:00:00 PM,Lamar,6493-51-001,Paris,Local District Let,Maintenance,Bidders,RMC - A00218336,THOMAS 11 DEVELOPMENT LLC,true
12/18/2025 02:00:00 PM,Grayson,6493-49-001,Paris,Local District Let,Maintenance,Bidders,RMC - A00218334,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 10:30:00 AM,Robertson,6492-80-001,Bryan,Local District Let,Maintenance,Bidders,RMC - A00218219,WESTERN CERTIFIED ARBORISTS,true
12/03/2025 01:00:00 PM,Palo Pinto,6491-62-001,Fort Worth,Statewide Let,Maintenance,Bidders,RMC - A00217903,"CATOCON, INC.",true
12/02/2025 01:00:00 PM,Collin,0135-02-075,Dallas,Statewide Let,Construction,Bidders,C 135-2-75,"AUSTIN BRIDGE & ROAD SERVICES, LP",true
12/02/2025 01:00:00 PM,Galveston,0912-73-224,Houston,Statewide Let,Construction,Bidders,,"RAGLE CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Navarro,0574-02-023,Dallas,Statewide Let,Construction,Bidders,C 574-2-23,"TEXAS MATERIALS GROUP, INC.",true
12/02/2025 01:00:00 PM,Harris,0912-72-842,Houston,Statewide Let,Construction,Bidders,C 912-72-842,"RAGLE CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Bell,6472-26-001,Waco,Statewide Let,Maintenance,Bidders,RMC - A00211859,"ELECNOR BELCO ELECTRIC, INC.",true
12/03/2025 01:00:00 PM,Bastrop,0322-01-052,Austin,Statewide Let,Construction,Bidders,,"TEXAS MATERIALS GROUP, INC.",true
12/02/2025 01:00:00 PM,Harris,0912-70-098,Houston,Statewide Let,Construction,Informational Proposals,C 912-70-98,"ELITE KINGS CONSTRUCTION, LLC",true
12/03/2025 01:00:00 PM,Howard,0005-10-028,Abilene,Statewide Let,Construction,Bidders,,"RAGLE CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Midland,1188-02-111,Odessa,Statewide Let,Construction,Bidders,C 1188-2-111,"RAGLE CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Jackson,0179-09-041,Yoakum,Statewide Let,Construction,Bidders,,"RAGLE CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Brazoria,0111-08-129,Houston,Statewide Let,Construction,Bidders,,"RAGLE CONSTRUCTION, INC.",true
12/03/2025 01:00:00 PM,Fort Bend,0027-08-190,Houston,Statewide Let,Construction,Bidders,C 27-8-190,"RAGLE CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Winkler,0354-04-044,Odessa,Statewide Let,Construction,Bidders,,JAMES HAMILTON CONSTRUCTION CO.,true
12/02/2025 01:00:00 PM,Collin,0135-02-075,Dallas,Statewide Let,Construction,Bidders,C 135-2-75,"TEXAS MATERIALS GROUP, INC.",true
12/02/2025 01:00:00 PM,De Witt,0913-00-139,Yoakum,Statewide Let,Construction,Bidders,,"RAGLE CONSTRUCTION, INC.",true
12/03/2025 01:00:00 PM,Bastrop,0322-01-052,Austin,Statewide Let,Construction,Bidders,,ALLEN KELLER COMPANY,true
12/03/2025 01:00:00 PM,Hopkins,6490-45-001,Paris,Statewide Let,Maintenance,Bidders,RMC - A00217633,"CATOCON, INC.",true
12/03/2025 01:00:00 PM,Harris,0508-01-400,Houston,Statewide Let,Construction,Informational Proposals,C 508-1-400,"ELITE KINGS CONSTRUCTION, LLC",true
12/03/2025 01:00:00 PM,El Paso,6489-56-001,El Paso,Statewide Let,Maintenance,Bidders,RMC - A00217479,"WINDING ROAD CONSTRUCTION, INC.",true
12/03/2025 01:00:00 PM,Navarro,2682-01-024,Dallas,Statewide Let,Construction,Bidders,C 2682-1-24,"TEXAS MATERIALS GROUP, INC.",true
12/02/2025 01:00:00 PM,Karnes,0348-04-055,Corpus Christi,Statewide Let,Construction,Bidders,,"RAGLE CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Taylor,6492-52-001,Abilene,Statewide Let,Maintenance,Bidders,RMC - A00218161,"AUSTIN BARRICADE COMPANY, L.L.C.",true
12/02/2025 01:00:00 PM,Angelina,0244-10-006,Lufkin,Statewide Let,Construction,Bidders,,GREY SKY CONSTRUCTION LLC,true
12/10/2025 02:00:00 PM,Potter,6492-18-001,Amarillo,Local District Let,Maintenance,Bidders,RMC - A00218012,THOMAS 11 DEVELOPMENT LLC,true
12/03/2025 01:00:00 PM,Harris,0508-01-400,Houston,Statewide Let,Construction,Bidders,C 508-1-400,"SELECT MAINTENANCE, L.L.C.",true
12/03/2025 01:00:00 PM,Palo Pinto,6491-62-001,Fort Worth,Statewide Let,Maintenance,Bidders,RMC - A00217903,WESTERN CERTIFIED ARBORISTS,true
12/03/2025 01:00:00 PM,Palo Pinto,6491-62-001,Fort Worth,Statewide Let,Maintenance,Bidders,RMC - A00217903,"AUSTIN BARRICADE COMPANY, L.L.C.",true
12/02/2025 01:00:00 PM,Hartley,0041-02-020,Amarillo,Statewide Let,Construction,Bidders,,"J. LEE MILLIGAN, INC.",true
12/10/2025 10:00:00 AM,Refugio,6494-25-001,Corpus Christi,Local District Let,Maintenance,Bidders,RMC - A00218562,WESTERN CERTIFIED ARBORISTS,true
12/02/2025 01:00:00 PM,Wilson,1122-04-017,San Antonio,Statewide Let,Construction,Bidders,C 1122-4-17,"POSILLICO CIVIL, INC.",true
12/03/2025 01:00:00 PM,Hale,0905-12-046,Lubbock,Statewide Let,Construction,Bidders,C 905-12-46,"WINDING ROAD CONSTRUCTION, INC.",true
12/03/2025 01:00:00 PM,Hale,0905-12-046,Lubbock,Statewide Let,Construction,Bidders,C 905-12-46,"SELECT MAINTENANCE, L.L.C.",true
12/03/2025 01:00:00 PM,Webb,0086-01-101,Laredo,Statewide Let,Construction,Bidders,,"SELECT MAINTENANCE, L.L.C.",true
12/09/2025 10:30:00 AM,Montgomery,6479-66-001,Houston,Local District Let,Maintenance,Bidders,RMC - A00213891,WESTERN CERTIFIED ARBORISTS,true
12/02/2025 01:00:00 PM,Winkler,0354-04-044,Odessa,Statewide Let,Construction,Bidders,,"FNF CONSTRUCTION, INC.",true
12/03/2025 01:00:00 PM,Navarro,2682-01-024,Dallas,Statewide Let,Construction,Bidders,C 2682-1-24,"WINDING ROAD CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Brazoria,0111-08-129,Houston,Statewide Let,Construction,Bidders,,"SOUTHERN ROAD & BRIDGE, LLC",false
12/02/2025 01:00:00 PM,Jasper,0244-09-014,Beaumont,Statewide Let,Construction,Bidders,,"SELECT MAINTENANCE, L.L.C.",true
12/10/2025 10:30:00 AM,Brazos,6493-44-001,Bryan,Local District Let,Maintenance,Bidders,MMC - A00218328,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 10:30:00 AM,Washington,6493-75-001,Bryan,Local District Let,Maintenance,Bidders,MMC - A00218387,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,De Witt,0913-00-139,Yoakum,Statewide Let,Construction,Bidders,,"SOUTHERN ROAD & BRIDGE, LLC",false
12/18/2025 02:00:00 PM,Hopkins,6493-50-001,Paris,Local District Let,Maintenance,Bidders,RMC - A00218335,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,Erath,0343-03-029,Fort Worth,Statewide Let,Construction,Bidders,C 343-3-29,"SELECT MAINTENANCE, L.L.C.",true
12/03/2025 01:00:00 PM,Collin,1014-04-018,Dallas,Statewide Let,Construction,Bidders,,GREY SKY CONSTRUCTION LLC,true
12/02/2025 01:00:00 PM,Jackson,0089-05-047,Yoakum,Statewide Let,Construction,Bidders,C 89-5-47,"SELECT MAINTENANCE, L.L.C.",true
12/03/2025 01:00:00 PM,Travis,6484-34-001,Austin,Statewide Let,Maintenance,Bidders,RMC - A00215434,"STRIPING TECHNOLOGY, L.P.",true
12/02/2025 01:00:00 PM,Hartley,0041-02-020,Amarillo,Statewide Let,Construction,Bidders,,KIEWIT INFRASTRUCTURE SOUTH CO.,true
12/02/2025 01:00:00 PM,Cameron,0331-03-022,Pharr,Statewide Let,Construction,Bidders,,"POSILLICO CIVIL, INC.",true
12/02/2025 01:00:00 PM,Bowie,0046-05-048,Atlanta,Statewide Let,Construction,Bidders,,GREY SKY CONSTRUCTION LLC,true
12/03/2025 01:00:00 PM,Howard,6492-53-001,Abilene,Statewide Let,Maintenance,Bidders,RMC - A00218162,"AUSTIN BARRICADE COMPANY, L.L.C.",true
12/08/2025 10:00:00 AM,Colorado,6479-45-001,Yoakum,Local District Let,Maintenance,Informational Proposals,RMC - A00213865,WESTERN CERTIFIED ARBORISTS,true
12/02/2025 01:00:00 PM,Hidalgo,0863-01-075,Pharr,Statewide Let,Construction,Bidders,,"POSILLICO CIVIL, INC.",true
12/02/2025 01:00:00 PM,Collin,0135-02-075,Dallas,Statewide Let,Construction,Bidders,C 135-2-75,GREY SKY CONSTRUCTION LLC,true
12/17/2025 11:00:00 AM,Liberty,6495-32-001,Beaumont,Local District Let,Maintenance,Bidders,MMC - A00218734,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,Angelina,0244-10-006,Lufkin,Statewide Let,Construction,Bidders,,"STRIPING TECHNOLOGY, L.P.",true
12/09/2025 10:30:00 AM,Montgomery,6490-51-001,Houston,Local District Let,Maintenance,Informational Proposals,RMC - A00217643,WESTERN CERTIFIED ARBORISTS,true
12/02/2025 01:00:00 PM,Collin,0918-24-285,Dallas,Statewide Let,Construction,Bidders,,GREY SKY CONSTRUCTION LLC,true
12/03/2025 01:00:00 PM,Navarro,2682-01-024,Dallas,Statewide Let,Construction,Bidders,C 2682-1-24,GREY SKY CONSTRUCTION LLC,true
12/17/2025 10:00:00 AM,Tarrant,6494-18-001,Fort Worth,Local District Let,Maintenance,Bidders,TMC - A00218552,THOMAS 11 DEVELOPMENT LLC,true
12/17/2025 10:00:00 AM,Tarrant,6493-16-001,Fort Worth,Local District Let,Maintenance,Bidders,TMC - A00218276,THOMAS 11 DEVELOPMENT LLC,true
